Order Date,Region,Category,Car Model,Units Sold,Unit Price,Sales,Profit
2023-09-15,East,SUV,Model A,2,60328,120656,14038.667594565422
2023-06-02,West,SUV,Model C,7,32533,227731,19577.60226324119
2023-01-18,North,Electric,Model B,3,60111,180333,11555.917803034437
2023-08-23,East,SUV,Model D,7,59974,419818,32506.465576039336
2023-06-24,East,SUV,Model D,9,74748,672732,127948.31154875067
2023-01-14,West,Electric,Model C,4,25801,103204,15041.01175505137
2023-05-14,North,Electric,Model C,1,39190,39190,4996.898949282073
2023-08-22,North,Sedan,Model B,2,69689,139378,20706.92941155444
2023-03-03,East,Hybrid,Model D,1,58754,58754,6777.328823338122
2023-06-26,South,Hybrid,Model D,5,70993,354965,56619.010900504894
2023-06-03,East,SUV,Model D,5,49592,247960,14172.753653363186
2023-08-02,East,Hybrid,Model A,7,30647,214529,28941.15950951256
2023-04-14,East,SUV,Model D,9,28716,258444,19072.383377177393
2023-01-18,East,Sedan,Model A,9,43355,390195,26542.896712578386
2023-03-29,West,Electric,Model B,3,42009,126027,12764.260313590192
2023-03-19,North,Electric,Model A,3,72102,216306,13793.803309476356
2023-11-07,West,Electric,Model B,3,44376,133128,8536.63973013253
2023-09-13,West,Hybrid,Model D,4,65091,260364,25180.322232953236
2023-05-25,West,Sedan,Model D,8,24780,198240,39038.725079089185
2023-12-18,East,Hybrid,Model B,6,22368,134208,10240.008729196254
2023-05-20,South,Hybrid,Model C,8,32039,256312,13475.389449904937
2023-12-11,North,Sedan,Model B,1,26655,26655,4384.871804275388
2023-11-19,South,Sedan,Model C,8,60941,487528,83385.30048134187
2023-11-08,West,Sedan,Model A,4,24495,97980,9988.634607050924
2023-12-02,West,Sedan,Model A,1,30893,30893,3697.9252154715127
2023-08-02,South,Electric,Model A,8,45547,364376,53733.09030799594
2023-12-06,South,Truck,Model D,4,42386,169544,9699.415336609283
2023-03-02,South,Truck,Model A,6,75766,454596,87451.47794977766
2023-02-24,West,Sedan,Model C,8,78510,628080,114939.93264812366
2023-07-15,West,Truck,Model A,4,33403,133612,11909.377820289963
2023-08-19,North,Truck,Model B,3,52097,156291,8173.344285978679
2023-12-11,North,Sedan,Model B,9,33121,298089,56641.514345865755
2023-12-20,West,Truck,Model D,3,75071,225213,28186.754306431092
2023-09-27,South,Hybrid,Model B,9,30966,278694,36482.88879066106
2023-09-24,South,SUV,Model C,2,79326,158652,24209.43299138308
2023-09-30,North,SUV,Model A,2,53621,107242,15268.866585725475
2023-07-26,West,Sedan,Model D,2,73298,146596,28085.41004932832
2023-04-24,North,Electric,Model A,6,48312,289872,55550.41484427998
2023-05-30,North,Sedan,Model A,3,72921,218763,39394.80604519399
2023-12-09,East,Electric,Model C,9,69726,627534,91281.43426795279
2023-03-29,East,SUV,Model B,4,70300,281200,47844.04124970363
2023-01-30,East,Sedan,Model B,1,42677,42677,6468.777002181777
2023-12-09,South,Hybrid,Model A,4,75609,302436,41132.82519226393
2023-07-23,West,Truck,Model D,1,51289,51289,3553.048192552103
2023-02-14,West,Electric,Model B,5,76661,383305,65806.04254456905
2023-11-30,West,Truck,Model D,4,51024,204096,35328.18516621575
2023-04-17,West,Truck,Model B,8,62675,501400,72146.9225883393
2023-10-13,East,Sedan,Model D,8,24777,198216,34304.05908974486
2023-01-13,South,Truck,Model C,7,73006,511042,75492.51211696216
2023-10-13,South,Hybrid,Model D,3,49749,149247,12089.403098778694
2023-05-24,East,Truck,Model C,1,35338,35338,3219.085747591134
2023-05-17,South,Sedan,Model C,1,22491,22491,1848.4985837041565
2023-07-12,East,Hybrid,Model D,3,47236,141708,15104.4945249105
2023-12-26,West,SUV,Model C,6,68096,408576,22816.710112017903
2023-09-22,East,Truck,Model A,7,34599,242193,34570.1644514171
2023-11-25,West,Sedan,Model C,6,39508,237048,23819.325529641428
2023-02-16,West,SUV,Model B,6,74843,449058,66621.5242798208
2023-11-25,North,SUV,Model D,6,23051,138306,14910.699758889517
2023-12-19,East,Electric,Model A,3,68747,206241,31398.552705392573
2023-07-20,North,Hybrid,Model D,6,69156,414936,41947.40945328209
2023-01-28,East,Truck,Model B,8,41606,332848,29658.147850139583
2023-03-17,East,Sedan,Model B,2,41699,83398,10375.179741974223
2023-05-31,North,Electric,Model B,5,74021,370105,56971.57793055204
2023-01-03,North,Hybrid,Model C,1,20876,20876,2134.5812431847426
2023-05-03,East,Electric,Model C,1,78335,78335,14922.599946342527
2023-02-22,South,Hybrid,Model D,5,76179,380895,21283.631384868044
2023-05-28,West,Hybrid,Model D,3,52093,156279,17611.378183571844
2023-06-16,North,Truck,Model A,4,24142,96568,18843.99780488109
2023-04-18,West,Hybrid,Model A,3,35202,105606,13960.667805344629
2023-06-13,South,Electric,Model D,1,59734,59734,6781.041990174974
2023-08-21,South,Hybrid,Model C,1,27079,27079,3663.1941145497685
2023-02-19,South,Truck,Model B,5,27987,139935,19085.550815811013
2023-11-07,North,Truck,Model D,6,59567,357402,57093.955655940306
2023-09-24,South,Electric,Model A,3,48940,146820,10153.11091107096
2023-09-14,North,SUV,Model C,9,57233,515097,45072.25844128019
2023-12-05,South,SUV,Model D,5,37019,185095,25373.1190947194
2023-04-10,West,Hybrid,Model D,8,66185,529480,95342.13517781055
2023-06-16,West,Sedan,Model C,1,38077,38077,5112.9797055137715
2023-10-03,East,Hybrid,Model D,5,46258,231290,19842.26015513617
2023-11-25,West,Electric,Model C,3,41136,123408,18755.142689689434
2023-09-15,East,Electric,Model B,1,28311,28311,4557.683537553844
2023-07-22,West,Electric,Model C,4,37214,148856,12762.232105337018
2023-05-09,North,Electric,Model C,5,34098,170490,18184.34967062948
2023-03-25,West,Electric,Model C,7,48251,337757,43958.77667158938
2023-09-10,East,Truck,Model D,1,57945,57945,7213.235729119641
2023-02-25,East,SUV,Model D,3,67030,201090,21806.745143672946
2023-02-20,South,Electric,Model C,2,45945,91890,8696.954427849088
2023-07-18,North,Sedan,Model D,9,45316,407844,26508.935447946453
2023-08-15,West,Sedan,Model A,6,52217,313302,18178.657566231628
2023-12-07,South,Sedan,Model A,3,28308,84924,16456.67671219631
2023-02-12,West,Sedan,Model D,8,25949,207592,36758.62093536376
2023-03-15,West,Truck,Model D,8,71990,575920,59455.54959369352
2023-10-22,South,Sedan,Model C,2,21150,42300,8185.901616127366
2023-05-21,South,Electric,Model B,6,43944,263664,39949.17901201943
2023-04-05,South,Hybrid,Model D,7,54699,382893,46857.734095728054
2023-05-09,South,Sedan,Model A,2,29204,58408,7239.896392870339
2023-10-08,South,Truck,Model C,2,70816,141632,8850.960658961052
2023-05-29,West,Truck,Model D,1,21081,21081,1344.0322692534062
2023-02-27,South,Sedan,Model A,8,49305,394440,55366.01982186561
2023-03-26,North,Hybrid,Model A,1,36896,36896,4909.2141729026
